id,api_url,repository_url,description
37ed663a1000aa9059bae32c548ceb17723de394,https://api.github.dev/repos/chirino/activemq-apollo,https://github.com/chirino/activemq-apollo/commit/37ed663a1000aa9059bae32c548ceb17723de394,Don't combine swap entries while they are loading. Fixes unlink errors.  git-svn-id: https://svn.apache.org/repos/asf/activemq/activemq-apollo/trunk@1241924 13f79535-47bb-0310-9956-ffa450edef68
e1eaffb9758bbc0dd30f62b532d6705de4a76baa,https://api.github.dev/repos/chirino/activemq-apollo,https://github.com/chirino/activemq-apollo/commit/e1eaffb9758bbc0dd30f62b532d6705de4a76baa,Fixes APLO-156 - AssertionError on queue browser creation  git-svn-id: https://svn.apache.org/repos/asf/activemq/activemq-apollo/trunk@1242180 13f79535-47bb-0310-9956-ffa450edef68
03cb3f5bcc2921459ea6bc071bffc80ef2ca11a9,https://api.github.dev/repos/chirino/activemq-apollo,https://github.com/chirino/activemq-apollo/commit/03cb3f5bcc2921459ea6bc071bffc80ef2ca11a9,Fixes openwire inactivity timeout bug and fix perf bug assoicated with a logging statement  git-svn-id: https://svn.apache.org/repos/asf/activemq/activemq-apollo/trunk@1245761 13f79535-47bb-0310-9956-ffa450edef68
42f8ff9ea9d69673964c2e83ad8af8640d095a0a,https://api.github.com/repos/breuninger-ecom/activemq,https://github.com/breuninger-ecom/activemq/commit/42f8ff9ea9d69673964c2e83ad8af8640d095a0a,stop behavior  fix bug caused by a uncomplete change which renames the pidfile for a running shutdown task
251461128592193fd957708fec0c4e694bb528f2,https://api.github.com/repos/clebertsuconic/activemq-6,https://github.com/clebertsuconic/activemq-6/commit/251461128592193fd957708fec0c4e694bb528f2,ACTIVEMQ6-14 - more JNDI removal  https://issues.apache.org/jira/browse/ACTIVEMQ6-14  cleaned up more remaining server JNDI code and fixed some abstraction and naming around JNDI and bindings
1d159e6da04b21fb65dee64486d816051ce5a13b,https://api.github.com/repos/clebertsuconic/activemq-6,https://github.com/clebertsuconic/activemq-6/commit/1d159e6da04b21fb65dee64486d816051ce5a13b,Bug 1174886 - HornetQ TTL / check-period not being respected               on the replication channel  The connection-ttl and client-failure-check-period are not passed to the server locator used to create replication connection. So the fix sets the two parameters in SharedNothingBackupActivation.
4d8489ba386996b6172ce3dc6b0d0fca15f2f246,https://api.github.com/repos/apache/activemq,https://github.com/apache/activemq/commit/4d8489ba386996b6172ce3dc6b0d0fca15f2f246,https://issues.apache.org/jira/browse/AMQ-5506 - fix typo in leveldb attribute ZkSessionTmeout - now with the i  store.setZkSessionTimeout
40569a65623bb43d0c8a4272d8b4fb96d0f42e73,https://api.github.com/repos/andytaylor/activemq-6,https://github.com/andytaylor/activemq-6/commit/40569a65623bb43d0c8a4272d8b4fb96d0f42e73,ACTIVEMQ6-67 - cleaned up configuration  https://issues.apache.org/jira/browse/ACTIVEMQ6-67  fixed distribution so that file based security works and hot deployers as broken and no longer needed with new bootstrap.  Also combined the jms and core configuration files.
b54606b12417c371af6589b96b72f7110de26b34,https://api.github.com/repos/apache/activemq,https://github.com/apache/activemq/commit/b54606b12417c371af6589b96b72f7110de26b34,https://issues.apache.org/jira/browse/AMQ-5300 - fix and test that verifies recovery in the absense of an index
7a1e2c0f15f8438a7a36be48d0a780ffbdf9c29b,https://api.github.com/repos/andytaylor/activemq-6,https://github.com/andytaylor/activemq-6/commit/7a1e2c0f15f8438a7a36be48d0a780ffbdf9c29b,ACTIVEMQ6-67 - cleaned up configuration  https://issues.apache.org/jira/browse/ACTIVEMQ6-67  fixed distribution so that file based security works and hot deployers as broken and no longer needed with new bootstrap.  Also combined the jms and core configuration files.
